mbti_profile,Title,Plot
Yvaine,Stardust,"In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm."
Daniel Middleton,Hot Summer Nights,"In the summer of 1991, a sheltered teenage boy comes of age during a wild summer he spends on Cape Cod getting rich from selling pot to gangsters, falling in love for the first time, partying and eventually realizing that he is in..."
Kang Han Na/Jenny,200 Pounds Beauty,"A talented but obese girl, who ghost-sings for a not-so-talented pop star, undergoes extensive plastic surgery to become a slender beauty with a new identity."
Deon,Chappie,"In the near future, crime is patrolled by a mechanized police force. When one police droid, Chappie, is stolen and given new programming, he becomes the first robot with the ability to think and feel for himself."
Peter Pan,Pan,"Twelve-year-old orphan Peter is spirited away to the magical world of Neverland, where he finds both fun and danger, and ultimately discovers his destiny: to become the hero who will be forever known as Peter Pan."
Alice Kepley,How to Be Single,A group of young adults navigate love and relationships in New York City.
Henry Barthes,Detachment,A substitute teacher who drifts from classroom to classroom finds a connection to the students and teachers during his latest assignment.
Valerie,Red Riding Hood,"Set in a medieval village that is haunted by a werewolf, a young girl falls for an orphaned woodcutter, much to her family's displeasure."
Shun Takahata,As the Gods Will,"A group of high school students are forced to play a game of death without knowing who, why or how."
Eric,Circle,"Held captive and faced with their imminent executions, fifty strangers are forced to choose the one person among them who deserves to live."
Kaira,Dear Zindagi,"Kaira is a budding cinematographer in search of a perfect life. Her encounter with Jug, an unconventional thinker, helps her gain a new perspective on life. She discovers that happiness is all about finding comfort in life's imperfec"
Shelley Darlington,The House Bunny,"After Playboy bunny Shelley is kicked out of the playboy mansion, she finds a job as the house mother for a sorority full of socially awkward girls."
King Louis XIV,The Man in the Iron Mask,The cruel King Louis XIV of France has a secret twin brother whom he keeps imprisoned. Can the twin be substituted for the real king?
Skeeter Bronson,Bedtime Stories,A hotel handyman's life changes when the lavish bedtime stories he tells his niece and nephew start to magically come true.
Robbie Weirdicht/“Bob Stone”,Central Intelligence,"After he reconnects with an awkward pal from high school through Facebook, a mild-mannered accountant is lured into the world of international espionage."
Rizwan Khan,My Name Is Khan,An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.
Sy Parrish,One Hour Photo,A mentally unstable photo developer targets an upper middle-class family after his obsession with them becomes more sick and disturbing than any of them could imagine.
Polly Prince,Along Came Polly,A buttoned-up newlywed finds his strictly organized life descend into chaos when he falls in love with an old classmate.
Kumail Nanjiani,The Big Sick,"Pakistan-born comedian Kumail Nanjiani and grad student Emily Gardner fall in love but struggle as their cultures clash. When Emily contracts a mysterious illness, Kumail finds himself forced to face her feisty parents, his family..."
Loveday,The Secret of Moonacre,Maria inherits a book of secrets from her dad. She moves to her uncle's Moonacre estate. A family curse was cast on the valley. Only Maria can break it using her book.
Hutch,The Ritual,"A group of old college friends reunite for a trip to a forest in Sweden, Northern Europe, but encounter a menacing presence there stalking them."
Harry Lockhart,Kiss Kiss Bang Bang,"After being mistaken for an actor, a New York thief is sent to Hollywood to train under a private eye for a potential movie role, but the duo are thrown together with a struggling actress into a murder mystery."
Lara Croft (Vikander),Tomb Raider,"Lara Croft (Alicia Vikander), the fiercely independent daughter of a missing adventurer, must push herself beyond her limits when she discovers the island where her father, Lord Richard Croft (Dominic West) disappeared."
Uma,Paradise Hills,Uma is a young woman who wakes up in an apparently idyllic reform school for young ladies. But a dark secret lies within its walls.
Milla,Babyteeth,"Milla, a seriously ill teenager, falls in love with a drug dealer, Moses, her parents' worst nightmare."
Madeline Ashton,Death Becomes Her,"When a woman learns of an immortality treatment, she sees it as a way to outdo her long-time rival."
Hayley Stark,Hard Candy,"Hayley's a smart, charming teenage girl. Jeff's a handsome, smooth fashion photographer. An Internet chat, a coffee shop meet-up, an impromptu fashion shoot back at Jeff's place. Jeff thinks it's his lucky night. He's in for a sur..."
Craig Jones,Friday,"It's Friday, and Craig and Smokey must come up with  200 they owe a local bully or there won't be a Saturday."
Smokey,Friday,"It's Friday, and Craig and Smokey must come up with  200 they owe a local bully or there won't be a Saturday."
Carrie Pilby,Carrie Pilby,"A person of high intelligence struggles to make sense of the world as it relates to morality, relationships, sex, and leaving her apartment."
Sam Lawton,Final Destination 5,Death returns to claim the lucky survivors of a deadly bridge collapse in this fifth frightening installment in the series.
Brian Jackson,Starter for 10,"Set in 1985, working-class student Brian Jackson (McAvoy) navigates his first year at Bristol University."
Rocky,Don't Breathe,"Hoping to walk away with a massive fortune, a trio of thieves break into the house of a blind man who isn't as helpless as he seems."
Marvin,Daddy Day Care,"Two men, Charlie Hinton (Eddie Murphy) and Phil Ryerson (Jeff Garlin), get laid off and have to become stay-at-home dads when they can't find jobs. This inspires them to open their own day-care center."
Brendan Frye,Brick,A teenage loner pushes his way into the underworld of a high school crime ring to investigate the disappearance of his ex-girlfriend.
"Marcus Copeland/""Tiffany Wilson""",White Chicks,Two disgraced FBI agents go way undercover in an effort to protect hotel heiresses the Wilson sisters from a kidnapping plot.
Sophie Hall,Letters to Juliet,"Sophie dreams of becoming a writer and travels to Verona, Italy where she meets the ""Secretaries of Juliet""."
Juno Kaplan,The Descent,"A caving expedition goes horribly wrong, as the explorers become trapped and ultimately pursued by a strange breed of predators."
Lucy Carrigan,Across the Universe,The music of The Beatles and the Vietnam War form the backdrop for the romance between an upper-class American girl and a poor Liverpudlian artist.
Emma Morley,One Day,"After spending the night together on the night of their college graduation Dexter and Emma are shown each year on the same date to see where they are in their lives. They are sometimes together, sometimes not, on that day."
Kate Armstrong,No Reservations,The life of a top chef changes when she becomes the guardian of her young niece.
Calvin Weir-Fields,Ruby Sparks,"A novelist struggling with writer's block finds romance in a most unusual way: by creating a female character he thinks will love him, then willing her into existence."
Rachel Jansen,Forgetting Sarah Marshall,"Devastated Peter takes a Hawaiian vacation in order to deal with the recent break-up with his TV star girlfriend, Sarah. Little does he know, Sarah's traveling to the same resort as her ex - and she's bringing along her new boyfriend"
Faith Corvatch,Only You,"As a teen, Faith was told that her destiny is a man named Damon Bradley. Years later - Faith is about to marry another man - a Damon Bradley calls to wish them all the best. Faith blows off the wedding and follows Damon to Italy."
Joy Jordan,Happiness,"The lives of several individuals intertwine as they go about their lives in their own unique ways, engaging in acts society as a whole might find disturbing in a desperate search for human connection."
Milly Farrier,Dumbo,"A young elephant, whose oversized ears enable him to fly, helps save a struggling circus, but when the circus plans a new venture, Dumbo and his friends discover dark secrets beneath its shiny veneer."
David Copperfield,The Personal History of David Copperfield,A modern take on Charles Dickens's classic tale of a young orphan who is able to triumph over many obstacles.
Daphne Blake,Scooby-Doo,"After an acrimonious break up, the Mystery Inc. gang are individually brought to an island resort to investigate strange goings on."
Hiroko Watanabe,Love Letter,When exchanging letters two women discover new things about a man they knew.
Ned,Handsome Devil,Ned and Conor are forced to share a bedroom at their boarding school. The loner and the star athlete at this rugby-mad school form an unlikely friendship until it's tested by the authorities.
Ronit Krushka,Disobedience,"A woman returns to her Orthodox Jewish community that shunned her for her attraction to a female childhood friend. Once back, their passions reignite as they explore the boundaries of faith and sexuality."
Steve Zissou,The Life Aquatic with Steve Zissou,"With a plan to exact revenge on a mythical shark that killed his partner, Oceanographer Steve Zissou (Bill Murray) rallies a crew that includes his estranged wife, a journalist, and a man who may or may not be his son."
Megan Stewart,Megan Is Missing,Two teenage girls encounter an Internet child predator.
Gigi,He's Just Not That Into You,This Baltimore-set movie of interconnecting story arcs deals with the challenges of reading or misreading human behavior.
Francis Whitman,The Darjeeling Limited,"A year after their father's funeral, three brothers travel across India by train in an attempt to bond with each other."
"Bartleby ""B"" Gaines",Accepted,"A high school slacker who's rejected by every school he applies to opts to create his own institution of higher learning, the South Harmon Institute of Technology, on a rundown piece of property near his hometown."
Alexis Lopez,Waves,"Traces the journey of a suburban family - led by a well-intentioned but domineering father - as they navigate love, forgiveness, and coming together in the aftermath of a loss."
Mike O’Donnell,17 Again,Mike O'Donnell is ungrateful for how his life turned out. He gets a chance to rewrite his life when he tried to save a janitor near a bridge and jumped after him into a time vortex.
Erin Harson,You're Next,"When the Davison family comes under attack during their wedding anniversary getaway, the gang of mysterious killers soon learns that one of the victims harbors a secret talent for fighting back."
Chantry Alton,What If,"Wallace, who is burned out from a string of failed relationships, forms an instant bond with Chantry, who lives with her longtime boyfriend. Together, they puzzle out what it means if your best friend is also the love of your life."
April Hoffman,"Definitely, Maybe",A political consultant tries to explain his impending divorce and past relationships to his 11-year-old daughter.
Josie McClellan,Career Opportunities,Jim is the dorky son of a local cement contractor who lives at home and has no direction. Josie is the gorgeous daughter of a wealthy businessman who dreams of leaving town. They find they have a lot in common.
Jim Dodge,Career Opportunities,Jim is the dorky son of a local cement contractor who lives at home and has no direction. Josie is the gorgeous daughter of a wealthy businessman who dreams of leaving town. They find they have a lot in common.
"Elizabeth ""Lizzy"" Wagner",Instant Family,A couple find themselves in over their heads when they foster three children.
Miley Stewart / Hannah Montana,Hannah Montana: The Movie,"As Hannah Montana's popularity begins to take over her life, Miley Stewart, on the urging from her father takes a trip to her hometown of Crowley Corners, Tennessee to get some perspective on what matters in life the most."
Lai Yiu-Fai,Happy Together,A couple take a trip to Argentina but both men find their lives drifting apart in opposite directions.
Dominique,D.E.B.S.,"Plaid-skirted schoolgirls are groomed by a secret government agency to become the newest members of the elite national-defense group, D.E.B.S."
Ruben Stone,Sound of Metal,A heavy-metal drummer's life is thrown into freefall when he begins to lose his hearing.
Jonas Taylor,The Meg,A group of scientists exploring the Marianas Trench encounter the largest marine predator that has ever existed - the Megalodon.
Daisy,How I Live Now,"An American girl, sent to the English countryside to stay with relatives, finds love and purpose while fighting for her survival as war envelops the world around her."
Virginia Woolf,The Hours,"The story of how the novel ""Mrs. Dalloway"" affects three generations of women, all of whom, in one way or another, have had to deal with suicide in their lives."
Adam Raki,Adam,"Adam, a lonely man with Asperger's Syndrome, develops a relationship with his upstairs neighbor, Beth."
Jane Nichols,27 Dresses,"After serving as a bridesmaid 27 times, a young woman wrestles with the idea of standing by her sister's side as her sibling marries the man she's secretly in love with."
David,Alien: Covenant,"The crew of a colony ship, bound for a remote planet, discover an uncharted paradise with a threat beyond their imagination, and must attempt a harrowing escape."
David,Prometheus,"Following clues to the origin of mankind, a team finds a structure on a distant moon, but they soon realize they are not alone."
Sydney Fife,"I Love You, Man","Friendless Peter Klaven goes on a series of man-dates to find a Best Man for his wedding. But, when his insta-bond with his new B.F.F. puts a strain on his relationship with his fiancée, can the trio learn to live happily ever after?"
Max Cartwright,The Final Girls,"A young woman grieving the loss of her mother, a famous scream queen from the 1980s, finds herself pulled into the world of her mom's most famous movie. Reunited, the women must fight off the film's maniacal killer."
Eli,The Book of Eli,"A post-apocalyptic tale, in which a lone man fights his way across America in order to protect a sacred book that holds the secrets to saving humankind."
Gretta James,Begin Again,"A chance encounter between a down-and-out music-business executive and a young singer-songwriter, new to Manhattan, turns into a promising collaboration between the two talents."
Agrado,All About My Mother,"Young Esteban wants to become a writer and also to discover the identity of his second mother, a trans woman, carefully concealed by his mother Manuela."
Rihanna,This Is the End,"Six Los Angeles celebrities are stuck in James Franco's house after a series of devastating events just destroyed the city. Inside, the group not only have to face the apocalypse, but themselves."
Robbie Hart,The Wedding Singer,"Robbie, a singer, and Julia, a waitress, are both engaged, but to the wrong people. Fortune intervenes to help them discover each other."
Natsume Mochizuki,Drowning Love,"Based on the best-selling comic ""Oboreru Knife"" by George Asakura, it is a story of a teen model Natsume falling in love with a mysterious boy Koh at first sight; both separately and together, Natsume tries to find her place in life "
Daphne Reynolds,What a Girl Wants,"An American teenager learns that her father is a wealthy British politician running for office. Although she is eager to find him, she realizes it could cause a scandal and cost him the election."
"Jesminder ""Jess"" Kaur Bhamra",Bend It Like Beckham,"Two ambitious girls, despite their parents' wishes, have their hearts set on careers in professional soccer."
"Mary Elizabeth ""Lola"" Steppe",Confessions of a Teenage Drama Queen,"A teenage girl is convinced that her home city revolves around her until her family packs up and moves to the suburbs, where she finds herself competing for attention."
Maria de Lourdes (Malu),"Fala Sério, Mãe!","Ângela Cristina, mother of teenager Maria de Lourdes, must deal with the difficulties and delights of guiding her daughter through one of the most complicated stages of life."
Momoko Ryugasaki,Kamikaze Girls,"Momoko, a strange and seemingly emotionless girl obsessed with 18th century France, befriends a Yanki biker and the two experience the ups and downs of their unusual lives in a rural Japanese town."
Quentin Smith,A Nightmare on Elm Street,"The spectre of a disfigured man haunts the children of the parents who murdered him, stalking and killing them in their dreams."
Davina,I Believe in Unicorns,A road trip through the stunning and complex landscape of troubled young love.
"Kabir ""Bunny"" Thapar",Yeh Jawaani Hai Deewani,"Kabir and Naina bond during a trekking trip. Before Naina can express herself, Kabir leaves India to pursue his career. They meet again years later, but he still cherishes his dreams more than bonds."
Eddie Birdlace,Dogfight,"Before leaving to fight in Vietnam, a group of teenagers play a game where they try to seduce the ugliest girl they can find."
Roxy Ryan,New York Minute,Jane and Roxy Ryan are teenage Long Island twins who find themselves on numerous misadventures when they trek into Manhattan on a school day.
Chiyo Sakamoto / Sayuri,Memoirs of a Geisha,Nitta Sayuri reveals how she transcended her fishing-village roots and became one of Japan's most celebrated geisha.
Meg Kelly,Monte Carlo,Three young women vacationing in Paris find themselves whisked away to Monte Carlo after one of the girls is mistaken for a British heiress.
Ali Rose,Burlesque,A small-town girl ventures to Los Angeles and finds her place in a neo-burlesque club run by a former dancer.
Alex,Elephant,Several ordinary high school students go through their daily routine as two others prepare for something more malevolent.
Corky,Bound,Tough ex-con Corky and her lover Violet concoct a scheme to steal millions of stashed mob money and pin the blame on Violet's crooked boyfriend Caesar.
Cheng Dieyi,Farewell My Concubine,Two boys meet at an opera training school in Peking in 1924. Their resulting friendship will span nearly 70 years and will endure some of the most troublesome times in China's history.
Kujo,Blue Spring,"A group of a run-down Tokyo high school students face the struggles of growing up, growing apart from their friends and worrying about their future, while living in a highly violent environment."
Mullins,The Heat,An uptight FBI Special Agent is paired with a foul-mouthed Boston cop to take down a ruthless drug lord.
Idgie Threadgoode,Fried Green Tomatoes,A housewife who is unhappy with her life befriends an old lady in a nursing home and is enthralled by the tales she tells of people she used to know.
Lucas Bennett,The Impossible,The story of a tourist family in Thailand caught in the destruction and chaotic aftermath of the 2004 Indian Ocean tsunami.
Sherwin,In a Heartbeat,"A young man who works for horror and action films falls in love with a strange and gorgeous model just arrived from America. However this mysterious woman hides a dark, moving secret in her heart..."
“Mr. Right” Francis,Mr. Right,"A girl falls for the ""perfect"" guy, who happens to have a very fatal flaw: he's a hitman on the run from the crime cartels who employ him."
Lena Duchannes,Beautiful Creatures,"Ethan Wate longs to escape his small southern town. He meets a mysterious new girl, Lena Duchannes. Together, they uncover dark secrets about their respective families, their history, and their town."
ZhenZhen,Rim of the World,Four misfit campers must band together and conquer their fears in order to save the world during an alien invasion.
Maud,Saint Maud,A pious nurse becomes dangerously obsessed with saving the soul of her dying patient.
Luli McMullen,Hick,A Nebraska teen gets more than she bargained for when she sets out for the bright lights of Las Vegas.
Liv Lerner,Bride Wars,Two best friends become rivals when they schedule their respective weddings on the same day.
Amy Anderson,Adult World,"A naive college graduate, Amy, who believes she's destined to be a great poet, begrudgingly accepts a job in a shop while she pursues a mentorship with reclusive writer Rat Billings."
Romeo Montague,Romeo + Juliet,Shakespeare's famous play is updated to the hip modern suburb of Verona still retaining its original dialogue.
Star,American Honey,"A teenage girl with nothing to lose joins a traveling magazine sales crew, and gets caught up in a whirlwind of hard partying, law bending and young love as she criss-crosses the Midwest with a band of misfits."
R,Warm Bodies,"After a highly unusual zombie saves a still-living girl from an attack, the two form a relationship that sets in motion events that might transform the entire lifeless world."
Rod Kimble,Hot Rod,Self-proclaimed stuntman Rod Kimble is preparing for the jump of his life - to clear fifteen buses to raise money for his abusive stepfather Frank's life-saving heart operation.
Miss Colleen Hannigan,Annie,"A foster kid, who lives with her mean foster mom, sees her life change when business tycoon and New York City mayoral candidate Will Stacks makes a thinly-veiled campaign move and takes her in."
Claire Colburn,Elizabethtown,"During a hometown memorial for his Kentucky-born father, a young man begins an unexpected romance with a too-good-to-be-true stewardess."
Lindy Taylor,Beastly,"A modern-day take on the ""Beauty and the Beast"" tale where a New York teen is transformed into a hideous monster in order to find true love."
Mitch Rapp,American Assassin,"After the death of his girlfriend at the hands of terrorists, Mitch Rapp is drawn into the world of counterterrorism, mentored by tough-as-nails former U.S. Navy S.E.A.L. Stan Hurley."
Ronnie Peterson,The Dead Don't Die,The peaceful town of Centerville finds itself battling a zombie horde as the dead start rising from their graves.
Costa,Project X,"3 high school seniors throw a birthday party to make a name for themselves. As the night progresses, things spiral out of control as word of the party spreads."
Dino Velvet,8MM,"A private investigator is hired to discover if a ""snuff film"" is authentic or not."
Mel Clark,6 Years,"A young couple, bound by a seemingly ideal love, begin to unravel as unexpected opportunities spin them down a volatile and violent path and threaten the future they had always imagined."
Paxton,Hostel,"Three backpackers head to a Slovak city that promises to meet their hedonistic expectations, with no idea of the hell that awaits them."
Alex Truelove,Alex Strangelove,"Alex, high school class president, nerd and a straight A student, has been dating Claire a long time. They decide to sleep together but then he meets a gay guy and he's confused."
Hank,Marvin's Room,"After seventeen years, a fiercely independent woman and her rebellious son return home and together they turn the family she left behind upside down."
Hester Shaw,Mortal Engines,"In a post-apocalyptic world where cities ride on wheels and consume each other to survive, two people meet in London and try to stop a conspiracy."
Gretel,Hansel & Gretel: Witch Hunters,Brother/sister duo Hansel and Gretel are professional witch-hunters who help innocent villagers. One day they stumble upon a case that could hold the key to their past.
Catherine Wyler,Not Another Teen Movie,A sendup of all the teen movies that have accumulated in the past two decades.
Bruno,The Boy in the Striped Pajamas,"Through the innocent eyes of Bruno, the eight-year-old son of the commandant at a German concentration camp, a forbidden friendship with a Jewish boy on the other side of the camp fence has startling and unexpected consequences."
Alfalfa,The Little Rascals,"Alfalfa is wooing Darla and his ""He-Man-Woman-Hating"" friends attempt to sabotage the relationship."
Laird Mayhew,Why Him?,A holiday gathering threatens to go off the rails when Ned Fleming realizes that his daughter's Silicon Valley millionaire boyfriend is about to pop the question.
Hyun-Woo,Tune in for Love,"In 1994 during the IMF crisis, two people meet while exchanging stories on a radio program. They fall in love, but can't quite seem to get the timing right."
Holly Viola,You Get Me,"A one night stand turns into a nightmare for a High School student, when the obsession of a young woman grows dangerous."
McKayla Hooper,Tragedy Girls,"A twist on the slasher genre, following two death-obsessed teenage girls who use their online show about real-life tragedies to send their small mid-western town into a frenzy, and cement their legacy as modern horror legends."
Victor Frankenstein,Victor Frankenstein,"Told from Igor's perspective, we see the troubled young assistant's dark origins, his redemptive friendship with the young medical student Viktor Von Frankenstein, and become eyewitnesses to the emergence of how Frankenstein becam..."
Selva,Climax,"French dancers gather in a remote, empty school building to rehearse on a wintry night. The all-night celebration morphs into a hallucinatory nightmare when they learn their sangria is laced with LSD."
"Steven ""Stevo"" Levy",SLC Punk!,In the early 1980s Stevo and Heroin Bob are the only two dedicated punks in conservative Salt Lake City.
"Tommy ""Eats"" Eaton",Summer of 84,"After suspecting that their police officer neighbor is a serial killer, a group of teenage friends spend their summer spying on him and gathering evidence, but as they get closer to discovering the truth, things get dangerous."
Young Donna Sheridan,Mamma Mia! Here We Go Again,"Five years after the events of Mamma Mia! (2008), Sophie prepares for the grand reopening of the Hotel Bella Donna as she learns more about her mother's past."
Neil,Watching the Detectives,A film noir buff to the extreme is given a taste of his own medicine and has his life turned upside down by a kooky femme fatale with a big adventure in mind. Sometimes love is stranger than fiction.
Violet,Watching the Detectives,A film noir buff to the extreme is given a taste of his own medicine and has his life turned upside down by a kooky femme fatale with a big adventure in mind. Sometimes love is stranger than fiction.
Cassie Sullivan,The 5th Wave,"Four waves of increasingly deadly alien attacks have left most of Earth in ruin. Cassie is on the run, desperately trying to save her younger brother."
Jéssica Spencer,The Hot Chick,"An attractive and popular teenager, who is mean-spirited toward others, finds herself in the body of an older man, and must find a way to get back to her original body."
Emilio,Toc Toc,The adventures and misadventures of a group of patients with OCD appointed at the same time.
Tyler Jamison,The Visit,Two siblings become increasingly frightened by their grandparents' disturbing behavior while visiting them on vacation.
La Femme,Inside,"Four months after the death of her husband, a woman on the brink of motherhood is tormented in her home by a strange woman who wants her unborn baby."
Edmond Dantès,The Count of Monte Cristo,"A young man, falsely imprisoned by his jealous ""friend"", escapes and uses a hidden treasure to exact his revenge."
Blake Gaines,San Andreas,"In the aftermath of a massive earthquake in California, a rescue-chopper pilot makes a dangerous journey with his ex-wife across the state in order to rescue his daughter."
Dusty Mayron,Daddy's Home,"Brad Whitaker is a radio host trying to get his stepchildren to love him and call him Dad. But his plans turn upside down when their biological father, Dusty Mayron, returns."
